season	tournament	event	round	round_id	url
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Finals	1156959	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156959
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Semifinals	1156958	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156958
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 4	1156957	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156957
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 3	1156956	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156956
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 2	1156955	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156955
2024-25	39th Annual Stanford Invitational	B International Extemp - Varsity	Round 1	1156954	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=30931&round_id=1156954
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	US Extemp	Round 5	1337177	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337177
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	US Extemp	Round 4	1337176	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337176
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	US Extemp	Round 3	1337175	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337175
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	US Extemp	Round 2	1337174	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337174
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	US Extemp	Round 1	1337173	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337173
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	International Extemp	Round 5	1337172	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337172
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	International Extemp	Round 4	1337171	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337171
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	International Extemp	Round 3	1337170	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337170
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	International Extemp	Round 2	1337169	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337169
2024-25	East Los Angeles NSDA 2025 Nat Quals Speech	International Extemp	Round 1	1337168	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=34060&round_id=1337168
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Finals	1386680	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386680
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 3	1386679	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386679
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 2	1386678	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386678
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Varsity Extemp	Round 1	1386677	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386677
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Finals	1386638	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386638
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 3	1386637	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386637
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 2	1386636	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386636
2025-26	Gabrielino Screamin Eagles GAB GAB GAB Speech Invitational	Novice Extemp	Round 1	1386635	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=36780&round_id=1386635
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	US Extemp	Round 5	1505329	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505329
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	US Extemp	Round 4	1505328	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505328
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	US Extemp	Round 3	1505327	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505327
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	US Extemp	Round 2	1505326	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505326
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	US Extemp	Round 1	1505325	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505325
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	International Extemp	Round 5	1505324	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505324
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	International Extemp	Round 4	1505323	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505323
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	International Extemp	Round 3	1505322	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505322
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	International Extemp	Round 2	1505321	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505321
2025-26	East Los Angeles NSDA 2026 Nat Quals Speech	International Extemp	Round 1	1505320	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=38210&round_id=1505320
2025-26	SCDL State Quals SPEECH	U.S. Extemp	Semis	1487458	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1487458
2025-26	SCDL State Quals SPEECH	U.S. Extemp	Round 3	1487457	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1487457
2025-26	SCDL State Quals SPEECH	U.S. Extemp	Round 2	1487456	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1487456
2025-26	SCDL State Quals SPEECH	U.S. Extemp	Round 1	1487455	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1487455
2025-26	SCDL State Quals SPEECH	International Extemp	Finals	1499838	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1499838
2025-26	SCDL State Quals SPEECH	International Extemp	Semis	1499837	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1499837
2025-26	SCDL State Quals SPEECH	International Extemp	Round 3	1499836	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1499836
2025-26	SCDL State Quals SPEECH	International Extemp	Round 2	1499835	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1499835
2025-26	SCDL State Quals SPEECH	International Extemp	Round 1	1499834	https://www.tabroom.com/index/tourn/results/round_results.mhtml?tourn_id=39273&round_id=1499834
