model,term,coefficient,std_error,t_stat,p_value,r_squared,n,df_resid
linear,intercept,3.36870975,0.06123397,55.01374427,0.00000000,0.00339591,2589,2587
linear,normalized_position,0.30004671,0.10105879,2.96903123,0.00298740,0.00339591,2589,2587
quadratic,intercept,3.38435250,0.07653754,44.21820067,0.00000000,0.00344066,2589,2586
quadratic,normalized_position,0.18230442,0.35999312,0.50641085,0.61256826,0.00344066,2589,2586
quadratic,normalized_position_sq,0.11774229,0.34551220,0.34077607,0.73327217,0.00344066,2589,2586
